,player_num,player_name,team
0,1,Cuéllar,Leganés
1,16,Rosales,Leganés
2,3,U Bustinza,Leganés
3,22,Siovas,Leganés
4,5,Silva,Leganés
5,6,R Mesa,Leganés
6,14,C Rivera,Leganés
7,8,Recio,Leganés
8,27,s drguez,Leganés
9,18,Carrillo,Leganés
10,7,Braithwaite,Leganés
11,12,Awaziem,Leganés
12,17,Eraso,Leganés
13,10,J niz,Leganés
14,1,Reina,Mallorca
15,2,J Sastre,Mallorca
16,24,Valjent,Mallorca
17,21,A Raillo,Mallorca
18,15,F Gmez,Mallorca
19,23,Febas,Mallorca
20,12,Baba,Mallorca
21,8,S Sevilla,Mallorca
22,14,D Rodrguez,Mallorca
23,22,Budimir,Mallorca
24,11,Lago Jr,Mallorca
25,10,l egra,Mallorca
26,17,Trajkovski,Mallorca
27,26,Kubo,Mallorca
