,player_num,player_name,team
0,13,J Soriano,Leganés
1,19,A Ruibal,Leganés
2,3,U Bustinza,Leganés
3,12,Awaziem,Leganés
4,22,Siovas,Leganés
5,5,Silva,Leganés
6,17,Eraso,Leganés
7,21,Rubn Prez,Leganés
8,8,Recio,Leganés
9,24,Rodrigues,Leganés
10,7,Braithwaite,Leganés
11,27,s drguez,Leganés
12,20,Assalé,Leganés
13,26,B Gil,Leganés
14,1,Robles,Real Betis
15,22,E Royal,Real Betis
16,23,Mandi,Real Betis
17,5,Bartra,Real Betis
18,15,l reno,Real Betis
19,21,Rodríguez,Real Betis
20,14,W Carvalho,Real Betis
21,24,Aleñá,Real Betis
22,10,Canales,Real Betis
23,17,Joaquín,Real Betis
24,9,B Iglesias,Real Betis
25,19,Barragán,Real Betis
26,11,Tello,Real Betis
27,16,L Morn,Real Betis
