,player_num,player_name,team
0,1,Cuéllar,Leganés
1,16,Rosales,Leganés
2,3,U Bustinza,Leganés
3,15,Tarín,Leganés
4,22,Siovas,Leganés
5,5,Silva,Leganés
6,19,A Ruibal,Leganés
7,23,Amadou,Leganés
8,8,Recio,Leganés
9,26,B Gil,Leganés
10,39,Manu,Leganés
11,6,R Mesa,Leganés
12,27,s drguez,Leganés
13,33,J Avils,Leganés
14,9,Guerrero,Leganés
15,20,Assalé,Leganés
16,1,Aréola,Real Madrid
17,17,L Vzquez,Real Madrid
18,3,d lito,Real Madrid
19,4,Ramos,Real Madrid
20,23,Mendy,Real Madrid
21,15,Valverde,Real Madrid
22,14,Casemiro,Real Madrid
23,22,Isco,Real Madrid
24,20,M Asensio,Real Madrid
25,9,Benzema,Real Madrid
26,25,Vincius Jr,Real Madrid
27,6,Nacho,Real Madrid
28,8,Kroos,Real Madrid
29,18,Jović,Real Madrid
30,21,Díaz,Real Madrid
