,player_num,player_name,team
0,13,A Fernndez,Levante
1,23,Coke,Levante
2,18,Bruno,Levante
3,14,Rben Vezo,Levante
4,3,Toño,Levante
5,16,Rochina,Levante
6,17,Vukčević,Levante
7,5,Radoja,Levante
8,10,Bardhi,Levante
9,7,S Len,Levante
10,9,Roger,Levante
11,20,Miramón,Levante
12,24,Campaña,Levante
13,8,Hernâni,Levante
14,11,Morales,Levante
15,21,B Mayoral,Levante
16,13,Oblak,Atletico Madrid
17,4,Arias,Atletico Madrid
18,15,Savić,Atletico Madrid
19,22,Hermoso,Atletico Madrid
20,12,R Lodi,Atletico Madrid
21,6,Koke,Atletico Madrid
22,5,Partey,Atletico Madrid
23,8,Sal guez,Atletico Madrid
24,21,Carrasco,Atletico Madrid
25,14,Llorente,Atletico Madrid
26,19,D Costa,Atletico Madrid
27,2,Gimenez,Atletico Madrid
28,16,Herrera,Atletico Madrid
29,7,Joo Flix,Atletico Madrid
30,9,Morata,Atletico Madrid
31,10,Correa,Atletico Madrid
