,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,15,Postigo,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,24,Campaña,Levante
6,5,Radoja,Levante
7,22,Melero,Levante
8,10,Bardhi,Levante
9,11,Morales,Levante
10,21,B Mayoral,Levante
11,16,Rochina,Levante
12,17,Vukčević,Levante
13,18,Cabaco,Levante
14,1,t Stegen,Barcelona
15,20,S Roberto,Barcelona
16,3,Piqué,Barcelona
17,15,Lenglet,Barcelona
18,2,N medo,Barcelona
19,22,Vidal,Barcelona
20,21,d Jong,Barcelona
21,8,Arthur,Barcelona
22,10,Messi,Barcelona
23,9,Suárez,Barcelona
24,17,Griezmann,Barcelona
25,5,Busquets,Barcelona
26,27,C Prez,Barcelona
27,31,Fati,Barcelona
