,player_num,player_name,team
0,13,A Fernndez,Levante
1,23,Coke,Levante
2,18,Cabaco,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,24,Campaña,Levante
7,5,Radoja,Levante
8,8,Hernâni,Levante
9,9,Roger,Levante
10,11,Morales,Levante
11,20,Miramón,Levante
12,7,S Len,Levante
13,21,B Mayoral,Levante
14,13,López,Espanyol de Barcelona
15,5,Naldo,Espanyol de Barcelona
16,20,Espinosa,Espanyol de Barcelona
17,15,D Lpez,Espanyol de Barcelona
18,34,Gómez,Espanyol de Barcelona
19,4,V chez,Espanyol de Barcelona
20,21,M Roca,Espanyol de Barcelona
21,3,A drosa,Espanyol de Barcelona
22,22,Vargas,Espanyol de Barcelona
23,10,S Darder,Espanyol de Barcelona
24,9,Ferreyra,Espanyol de Barcelona
25,17,Dídac,Espanyol de Barcelona
26,23,Granero,Espanyol de Barcelona
27,31,V mpuzano,Espanyol de Barcelona
