,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,15,Postigo,Levante
3,14,Rben Vezo,Levante
4,3,Toño,Levante
5,16,Rochina,Levante
6,17,Vukčević,Levante
7,24,Campaña,Levante
8,10,Bardhi,Levante
9,21,B Mayoral,Levante
10,9,Roger,Levante
11,6,Duarte,Levante
12,36,Martínez,Levante
13,11,Morales,Levante
14,13,J Soriano,Leganés
15,3,U Bustinza,Leganés
16,4,Omeruo,Leganés
17,5,Silva,Leganés
18,16,Rosales,Leganés
19,6,R Mesa,Leganés
20,8,Recio,Leganés
21,24,Rodrigues,Leganés
22,27,s drguez,Leganés
23,7,Braithwaite,Leganés
24,9,Guerrero,Leganés
25,22,Siovas,Leganés
26,19,A Ruibal,Leganés
27,20,Assalé,Leganés
