,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,15,Postigo,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,11,Morales,Levante
6,5,Radoja,Levante
7,22,Melero,Levante
8,24,Campaña,Levante
9,21,B Mayoral,Levante
10,9,Roger,Levante
11,6,Duarte,Levante
12,10,Bardhi,Levante
13,16,Rochina,Levante
14,1,Reina,Mallorca
15,2,J Sastre,Mallorca
16,24,Valjent,Mallorca
17,21,A Raillo,Mallorca
18,15,F Gmez,Mallorca
19,23,Febas,Mallorca
20,12,Baba,Mallorca
21,14,D Rodrguez,Mallorca
22,8,S Sevilla,Mallorca
23,26,Kubo,Mallorca
24,22,Budimir,Mallorca
25,4,Señé,Mallorca
26,9,Abdón,Mallorca
27,19,Chavarría,Mallorca
