,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,15,Postigo,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,24,Campaña,Levante
7,5,Radoja,Levante
8,10,Bardhi,Levante
9,11,Morales,Levante
10,21,B Mayoral,Levante
11,4,Rober,Levante
12,7,S Len,Levante
13,8,Hernâni,Levante
14,9,Roger,Levante
15,22,Melero,Levante
16,1,Robles,Real Betis
17,5,Bartra,Real Betis
18,4,Feddal,Real Betis
19,12,Sidnei,Real Betis
20,19,Barragán,Real Betis
21,21,Rodríguez,Real Betis
22,14,W Carvalho,Real Betis
23,15,l reno,Real Betis
24,10,Canales,Real Betis
25,8,Fekir,Real Betis
26,16,L Morn,Real Betis
27,7,Juanmi,Real Betis
28,9,B Iglesias,Real Betis
29,11,Tello,Real Betis
30,18,Guardado,Real Betis
31,20,Lainez,Real Betis
