,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,15,Postigo,Levante
3,14,Rben Vezo,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,5,Radoja,Levante
7,17,Vukčević,Levante
8,24,Campaña,Levante
9,21,B Mayoral,Levante
10,11,Morales,Levante
11,4,Rober,Levante
12,7,S Len,Levante
13,8,Hernâni,Levante
14,9,Roger,Levante
15,22,Melero,Levante
16,13,Moyá,Real Sociedad
17,18,A Gorosabel,Real Sociedad
18,6,Elustondo,Real Sociedad
19,24,L Normand,Real Sociedad
20,12,A Muoz,Real Sociedad
21,36,Zubimendi,Real Sociedad
22,8,Merino,Real Sociedad
23,7,Portu,Real Sociedad
24,21,Ødegaard,Real Sociedad
25,10,Oyarzabal,Real Sociedad
26,19,Isak,Real Sociedad
27,3,Llorente,Real Sociedad
28,5,I Zubelda,Real Sociedad
29,9,W Jos,Real Sociedad
30,20,Monreal,Real Sociedad
31,22,A Barrenetxea,Real Sociedad
