,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,14,Rben Vezo,Levante
3,15,Postigo,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,17,Vukčević,Levante
7,24,Campaña,Levante
8,11,Morales,Levante
9,9,Roger,Levante
10,21,B Mayoral,Levante
11,18,Cabaco,Levante
12,10,Bardhi,Levante
13,7,S Len,Levante
14,1,J Masip,Real Valladolid
15,2,P Porro,Real Valladolid
16,4,Kiko,Real Valladolid
17,27,Salisu,Real Valladolid
18,22,Nacho,Real Valladolid
19,10,O Plano,Real Valladolid
20,21,Míchel,Real Valladolid
21,16,Fede,Real Valladolid
22,23,W Rubio,Real Valladolid
23,9,Ünal,Real Valladolid
24,7,S Guardiola,Real Valladolid
25,8,Anuar,Real Valladolid
26,19,T Villa,Real Valladolid
27,29,D Fuente,Real Valladolid
