,player_num,player_name,team
0,13,A Fernndez,Levante
1,20,Miramón,Levante
2,40,Eliseo,Levante
3,23,Coke,Levante
4,19,Clerc,Levante
5,16,Rochina,Levante
6,24,Campaña,Levante
7,5,Radoja,Levante
8,10,Bardhi,Levante
9,11,Morales,Levante
10,9,Roger,Levante
11,29,Gonzalo,Levante
12,17,Vukčević,Levante
13,21,B Mayoral,Levante
14,13,Cillessen,Valencia
15,18,Wass,Valencia
16,24,Garay,Valencia
17,5,G Paulista,Valencia
18,3,J Costa,Valencia
19,17,Coquelin,Valencia
20,19,Rodrigo,Valencia
21,8,Soler,Valencia
22,10,Parejo,Valencia
23,20,F rres,Valencia
24,9,Gameiro,Valencia
25,1,Doménech,Valencia
26,12,Diakhaby,Valencia
27,22,Gómez,Valencia
