,player_num,player_name,team
0,13,A Fernndez,Levante
1,23,Coke,Levante
2,14,Rben Vezo,Levante
3,15,Postigo,Levante
4,3,Toño,Levante
5,24,Campaña,Levante
6,17,Vukčević,Levante
7,10,Bardhi,Levante
8,16,Rochina,Levante
9,7,S Len,Levante
10,11,Morales,Levante
11,20,Miramón,Levante
12,8,Hernâni,Levante
13,9,Roger,Levante
14,13,Fernández,Villarreal
15,2,M Gaspar,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,18,A Moreno,Villarreal
19,10,Iborra,Villarreal
20,8,S Cazorla,Villarreal
21,11,Chukwueze,Villarreal
22,23,M Gmez,Villarreal
23,17,T Ekambi,Villarreal
24,7,G Moreno,Villarreal
25,14,Trigueros,Villarreal
26,24,J Ontiveros,Villarreal
27,9,Bacca,Villarreal
