,player_num,player_name,team
0,1,Reina,Mallorca
1,2,J Sastre,Mallorca
2,24,Valjent,Mallorca
3,21,A Raillo,Mallorca
4,3,Lumor,Mallorca
5,12,Baba,Mallorca
6,14,D Rodrguez,Mallorca
7,23,Febas,Mallorca
8,8,S Sevilla,Mallorca
9,11,Lago Jr,Mallorca
10,22,Budimir,Mallorca
11,5,X Campos,Mallorca
12,10,l egra,Mallorca
13,17,Trajkovski,Mallorca
14,1,Dmitrović,Eibar
15,20,Rober,Eibar
16,12,P Oliveira,Eibar
17,4,Ramis,Eibar
18,24,Tejero,Eibar
19,21,P Len,Eibar
20,5,Escalante,Eibar
21,6,Alvarez,Eibar
22,14,Orellana,Eibar
23,9,Enrich,Eibar
24,17,K Garca,Eibar
25,10,E Expsito,Eibar
26,7,Q Gonzlez,Eibar
27,16,D Blasis,Eibar
