,player_num,player_name,team
0,1,Reina,Mallorca
1,7,Pozo,Mallorca
2,24,Valjent,Mallorca
3,12,Baba,Mallorca
4,21,A Raillo,Mallorca
5,3,Lumor,Mallorca
6,26,Kubo,Mallorca
7,14,D Rodrguez,Mallorca
8,8,S Sevilla,Mallorca
9,29,Hernández,Mallorca
10,22,Budimir,Mallorca
11,9,Abdón,Mallorca
12,11,Lago Jr,Mallorca
13,17,Trajkovski,Mallorca
14,20,Sedlar,Mallorca
15,1,R Silva,Granada CF
16,16,Vctor Daz,Granada CF
17,6,G chez,Granada CF
18,5,J rtnez,Granada CF
19,15,Neva,Granada CF
20,21,Herrera,Granada CF
21,8,Eteki,Granada CF
22,10,A Puertas,Granada CF
23,14,F Vico,Granada CF
24,23,Machís,Granada CF
25,9,Soldado,Granada CF
26,12,Azeez,Granada CF
27,17,G Dias,Granada CF
28,19,Montoro,Granada CF
29,22,D Duarte,Granada CF
30,24,C Fernndez,Granada CF
