,player_num,player_name,team
0,1,Reina,Mallorca
1,7,Pozo,Mallorca
2,24,Valjent,Mallorca
3,20,Sedlar,Mallorca
4,15,F Gmez,Mallorca
5,12,Baba,Mallorca
6,26,Kubo,Mallorca
7,14,D Rodrguez,Mallorca
8,8,S Sevilla,Mallorca
9,29,Hernández,Mallorca
10,22,Budimir,Mallorca
11,2,J Sastre,Mallorca
12,5,X Campos,Mallorca
13,4,Señé,Mallorca
14,9,Abdón,Mallorca
15,11,Lago Jr,Mallorca
16,1,Cuéllar,Leganés
17,12,Awaziem,Leganés
18,4,Omeruo,Leganés
19,3,U Bustinza,Leganés
20,19,A Ruibal,Leganés
21,21,Rubn Prez,Leganés
22,23,Amadou,Leganés
23,24,Rodrigues,Leganés
24,20,Assalé,Leganés
25,27,s drguez,Leganés
26,18,Carrillo,Leganés
27,16,Rosales,Leganés
28,6,R Mesa,Leganés
29,33,J Avils,Leganés
30,9,Guerrero,Leganés
31,26,B Gil,Leganés
