,player_num,player_name,team
0,1,Reina,Mallorca
1,7,Pozo,Mallorca
2,24,Valjent,Mallorca
3,21,A Raillo,Mallorca
4,15,F Gmez,Mallorca
5,26,Kubo,Mallorca
6,12,Baba,Mallorca
7,8,S Sevilla,Mallorca
8,29,Hernández,Mallorca
9,14,D Rodrguez,Mallorca
10,22,Budimir,Mallorca
11,11,Lago Jr,Mallorca
12,19,Chavarría,Mallorca
13,23,Febas,Mallorca
14,13,A Fernndez,Levante
15,23,Coke,Levante
16,4,Rober,Levante
17,14,Rben Vezo,Levante
18,3,Toño,Levante
19,10,Bardhi,Levante
20,5,Radoja,Levante
21,22,Melero,Levante
22,24,Campaña,Levante
23,9,Roger,Levante
24,11,Morales,Levante
25,7,S Len,Levante
26,8,Hernâni,Levante
27,16,Rochina,Levante
28,21,B Mayoral,Levante
