,player_num,player_name,team
0,1,Reina,Mallorca
1,2,J Sastre,Mallorca
2,24,Valjent,Mallorca
3,21,A Raillo,Mallorca
4,15,F Gmez,Mallorca
5,23,Febas,Mallorca
6,12,Baba,Mallorca
7,8,S Sevilla,Mallorca
8,14,D Rodrguez,Mallorca
9,22,Budimir,Mallorca
10,11,Lago Jr,Mallorca
11,3,Lumor,Mallorca
12,17,Trajkovski,Mallorca
13,26,Kubo,Mallorca
14,13,Courtois,Real Madrid
15,19,l riozola,Real Madrid
16,3,d lito,Real Madrid
17,4,Ramos,Real Madrid
18,12,Marcelo,Real Madrid
19,16,James,Real Madrid
20,22,Isco,Real Madrid
21,14,Casemiro,Real Madrid
22,25,Vincius Jr,Real Madrid
23,18,Jović,Real Madrid
24,9,Benzema,Real Madrid
25,15,Valverde,Real Madrid
26,21,Díaz,Real Madrid
27,27,Rodrygo,Real Madrid
