,player_num,player_name,team
0,1,Reina,Mallorca
1,15,F Gmez,Mallorca
2,24,Valjent,Mallorca
3,20,Sedlar,Mallorca
4,3,Lumor,Mallorca
5,26,Kubo,Mallorca
6,12,Baba,Mallorca
7,8,S Sevilla,Mallorca
8,11,Lago Jr,Mallorca
9,14,D Rodrguez,Mallorca
10,22,Budimir,Mallorca
11,19,Chavarría,Mallorca
12,23,Febas,Mallorca
13,29,Hernández,Mallorca
14,1,Vaclík,Sevilla
15,16,J Navas,Sevilla
16,20,D Carlos,Sevilla
17,6,D Carrio,Sevilla
18,23,Reguilón,Sevilla
19,24,J Jordn,Sevilla
20,25,Fernando,Sevilla
21,10,Banega,Sevilla
22,11,Munir,Sevilla
23,19,d Jong,Sevilla
24,5,Ocampos,Sevilla
25,12,Koundé,Sevilla
26,17,Gudelj,Sevilla
27,22,Vázquez,Sevilla
