,player_num,player_name,team
0,1,S Herrera,Osasuna
1,16,Lillo,Osasuna
2,5,D Garca,Osasuna
3,12,Roncaglia,Osasuna
4,30,Estupiñán,Osasuna
5,10,R Torres,Osasuna
6,20,Brašanac,Osasuna
7,8,F Mrida,Osasuna
8,14,R rca,Osasuna
9,9,Ávila,Osasuna
10,18,Juan,Osasuna
11,21,Pérez,Osasuna
12,7,Cardona,Osasuna
13,22,Adrián,Osasuna
14,1,U Simn,Athletic Club
15,21,Capa,Athletic Club
16,5,Yeray,Athletic Club
17,4,I rtnez,Athletic Club
18,17,Yuri,Athletic Club
19,8,U Lpez,Athletic Club
20,14,D Garcia,Athletic Club
21,9,I lliams,Athletic Club
22,34,O Sancet,Athletic Club
23,11,Córdoba,Athletic Club
24,22,R rca,Athletic Club
25,15,Lekue,Athletic Club
26,6,S Jos,Athletic Club
27,23,Kodro,Athletic Club
