,player_num,player_name,team
0,13,Rubén,Osasuna
1,4,U Garca,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,15,T Lato,Osasuna
5,10,R Torres,Osasuna
6,27,Moncayola,Osasuna
7,20,Brašanac,Osasuna
8,21,Pérez,Osasuna
9,11,E Gallego,Osasuna
10,16,J niz,Osasuna
11,2,N Vidal,Osasuna
12,7,Cardona,Osasuna
13,14,R rca,Osasuna
14,22,Adrián,Osasuna
15,30,Estupiñán,Osasuna
16,13,Oblak,Atletico Madrid
17,4,Arias,Atletico Madrid
18,15,Savić,Atletico Madrid
19,2,Gimenez,Atletico Madrid
20,12,R Lodi,Atletico Madrid
21,10,Correa,Atletico Madrid
22,6,Koke,Atletico Madrid
23,16,Herrera,Atletico Madrid
24,8,Sal guez,Atletico Madrid
25,19,D Costa,Atletico Madrid
26,7,Joo Flix,Atletico Madrid
27,5,Partey,Atletico Madrid
28,9,Morata,Atletico Madrid
29,14,Llorente,Atletico Madrid
30,21,Carrasco,Atletico Madrid
