,player_num,player_name,team
0,1,S Herrera,Osasuna
1,12,Roncaglia,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,30,Estupiñán,Osasuna
5,10,R Torres,Osasuna
6,6,Oier,Osasuna
7,20,Brašanac,Osasuna
8,21,Pérez,Osasuna
9,11,E Gallego,Osasuna
10,22,Adrián,Osasuna
11,2,N Vidal,Osasuna
12,16,J niz,Osasuna
13,19,K Barja,Osasuna
14,27,Moncayola,Osasuna
15,25,I llar,Celta Vigo
16,18,Aidoo,Celta Vigo
17,4,Araujo,Celta Vigo
18,16,J Saenz,Celta Vigo
19,2,H Mallo,Celta Vigo
20,8,F Beltran,Celta Vigo
21,5,Yokuşlu,Celta Vigo
22,12,Rafinha,Celta Vigo
23,15,Olaza,Celta Vigo
24,22,S Mina,Celta Vigo
25,10,I Aspas,Celta Vigo
26,3,Nolito,Celta Vigo
27,7,J Hernndez,Celta Vigo
28,14,Bradarić,Celta Vigo
29,20,Kevin,Celta Vigo
30,23,B Mndez,Celta Vigo
