,player_num,player_name,team
0,13,Rubén,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,30,Estupiñán,Osasuna
5,17,R Ibaez,Osasuna
6,27,Moncayola,Osasuna
7,20,Brašanac,Osasuna
8,10,R Torres,Osasuna
9,9,Ávila,Osasuna
10,7,Cardona,Osasuna
11,18,Juan,Osasuna
12,11,B Thomas,Osasuna
13,14,R rca,Osasuna
14,1,Dmitrović,Eibar
15,24,Tejero,Eibar
16,6,Alvarez,Eibar
17,12,P Oliveira,Eibar
18,23,Arbilla,Eibar
19,14,Orellana,Eibar
20,5,Escalante,Eibar
21,8,Diop,Eibar
22,16,D Blasis,Eibar
23,9,Enrich,Eibar
24,17,K Garca,Eibar
25,10,E Expsito,Eibar
26,21,P Len,Eibar
27,19,Charles,Eibar
