,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,4,U Garca,Osasuna
3,23,Aridane,Osasuna
4,30,Estupiñán,Osasuna
5,10,R Torres,Osasuna
6,20,Brašanac,Osasuna
7,8,F Mrida,Osasuna
8,14,R rca,Osasuna
9,22,Adrián,Osasuna
10,11,E Gallego,Osasuna
11,7,Cardona,Osasuna
12,15,T Lato,Osasuna
13,19,K Barja,Osasuna
14,21,Pérez,Osasuna
15,27,Moncayola,Osasuna
16,1,Cuéllar,Leganés
17,12,Awaziem,Leganés
18,15,Tarín,Leganés
19,22,Siovas,Leganés
20,19,A Ruibal,Leganés
21,26,B Gil,Leganés
22,21,Rubn Prez,Leganés
23,6,R Mesa,Leganés
24,24,Rodrigues,Leganés
25,20,Assalé,Leganés
26,9,Guerrero,Leganés
27,5,Silva,Leganés
28,16,Rosales,Leganés
29,17,Eraso,Leganés
30,33,J Avils,Leganés
31,39,Manu,Leganés
