,player_num,player_name,team
0,13,Rubén,Osasuna
1,2,N Vidal,Osasuna
2,12,Roncaglia,Osasuna
3,5,D Garca,Osasuna
4,15,T Lato,Osasuna
5,10,R Torres,Osasuna
6,6,Oier,Osasuna
7,8,F Mrida,Osasuna
8,19,K Barja,Osasuna
9,22,Adrián,Osasuna
10,16,J niz,Osasuna
11,21,Pérez,Osasuna
12,27,Moncayola,Osasuna
13,30,Estupiñán,Osasuna
14,33,J Martnez,Osasuna
15,34,A Oroz,Osasuna
16,25,M Parera,Mallorca
17,7,Pozo,Mallorca
18,24,Valjent,Mallorca
19,5,X Campos,Mallorca
20,3,Lumor,Mallorca
21,14,D Rodrguez,Mallorca
22,12,Baba,Mallorca
23,23,Febas,Mallorca
24,11,Lago Jr,Mallorca
25,19,Chavarría,Mallorca
26,22,Budimir,Mallorca
27,8,S Sevilla,Mallorca
28,9,Abdón,Mallorca
29,17,Trajkovski,Mallorca
30,26,Kubo,Mallorca
31,42,Obrador,Mallorca
