,player_num,player_name,team
0,13,Rubén,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,30,Estupiñán,Osasuna
5,10,R Torres,Osasuna
6,6,Oier,Osasuna
7,8,F Mrida,Osasuna
8,14,R rca,Osasuna
9,22,Adrián,Osasuna
10,9,Ávila,Osasuna
11,27,Moncayola,Osasuna
12,11,B Thomas,Osasuna
13,17,R Ibaez,Osasuna
14,1,Robles,Real Betis
15,22,E Royal,Real Betis
16,23,Mandi,Real Betis
17,5,Bartra,Real Betis
18,6,Pedraza,Real Betis
19,3,J Garca,Real Betis
20,18,Guardado,Real Betis
21,10,Canales,Real Betis
22,8,Fekir,Real Betis
23,7,Juanmi,Real Betis
24,9,B Iglesias,Real Betis
25,37,Gutiérrez,Real Betis
26,15,l reno,Real Betis
27,17,Joaquín,Real Betis
