,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,4,U Garca,Osasuna
3,5,D Garca,Osasuna
4,30,Estupiñán,Osasuna
5,10,R Torres,Osasuna
6,27,Moncayola,Osasuna
7,20,Brašanac,Osasuna
8,21,Pérez,Osasuna
9,16,J niz,Osasuna
10,14,R rca,Osasuna
11,8,F Mrida,Osasuna
12,7,Cardona,Osasuna
13,11,E Gallego,Osasuna
14,13,Courtois,Real Madrid
15,2,Carvajal,Real Madrid
16,5,Varane,Real Madrid
17,4,Ramos,Real Madrid
18,23,Mendy,Real Madrid
19,10,Modrić,Real Madrid
20,14,Casemiro,Real Madrid
21,15,Valverde,Real Madrid
22,11,Bale,Real Madrid
23,9,Benzema,Real Madrid
24,22,Isco,Real Madrid
25,17,L Vzquez,Real Madrid
26,18,Jović,Real Madrid
27,25,Vincius Jr,Real Madrid
