,player_num,player_name,team
0,1,S Herrera,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,5,D Garca,Osasuna
4,21,Pérez,Osasuna
5,10,R Torres,Osasuna
6,6,Oier,Osasuna
7,20,Brašanac,Osasuna
8,14,R rca,Osasuna
9,9,Ávila,Osasuna
10,22,Adrián,Osasuna
11,27,Moncayola,Osasuna
12,18,Juan,Osasuna
13,17,R Ibaez,Osasuna
14,1,J Masip,Real Valladolid
15,18,Antoñito,Real Valladolid
16,24,Joaquin,Real Valladolid
17,4,Kiko,Real Valladolid
18,27,Salisu,Real Valladolid
19,6,García,Real Valladolid
20,16,Fede,Real Valladolid
21,21,Míchel,Real Valladolid
22,14,R caraz,Real Valladolid
23,9,Ünal,Real Valladolid
24,7,S Guardiola,Real Valladolid
25,10,O Plano,Real Valladolid
26,20,S Ramirez,Real Valladolid
