,player_num,player_name,team
0,13,Rubén,Osasuna
1,2,N Vidal,Osasuna
2,23,Aridane,Osasuna
3,12,Roncaglia,Osasuna
4,30,Estupiñán,Osasuna
5,10,R Torres,Osasuna
6,6,Oier,Osasuna
7,8,F Mrida,Osasuna
8,14,R rca,Osasuna
9,22,Adrián,Osasuna
10,9,Ávila,Osasuna
11,27,Moncayola,Osasuna
12,20,Brašanac,Osasuna
13,17,R Ibaez,Osasuna
14,1,Asenjo,Villarreal
15,20,R Pea,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,16,X Quintill,Villarreal
19,11,Chukwueze,Villarreal
20,19,Z Anguissa,Villarreal
21,10,Iborra,Villarreal
22,8,S Cazorla,Villarreal
23,7,G Moreno,Villarreal
24,17,T Ekambi,Villarreal
25,14,Trigueros,Villarreal
26,24,J Ontiveros,Villarreal
27,9,Bacca,Villarreal
