,player_num,player_name,team
0,1,Robles,Real Betis
1,23,Mandi,Real Betis
2,5,Bartra,Real Betis
3,4,Feddal,Real Betis
4,22,E Royal,Real Betis
5,21,Rodríguez,Real Betis
6,18,Guardado,Real Betis
7,6,Pedraza,Real Betis
8,10,Canales,Real Betis
9,8,Fekir,Real Betis
10,9,B Iglesias,Real Betis
11,15,l reno,Real Betis
12,19,Barragán,Real Betis
13,14,W Carvalho,Real Betis
14,24,Aleñá,Real Betis
15,16,L Morn,Real Betis
16,13,López,Espanyol de Barcelona
17,2,Pipa,Espanyol de Barcelona
18,15,D Lpez,Espanyol de Barcelona
19,5,Naldo,Espanyol de Barcelona
20,3,A drosa,Espanyol de Barcelona
21,23,A Embarba,Espanyol de Barcelona
22,8,Iturraspe,Espanyol de Barcelona
23,21,M Roca,Espanyol de Barcelona
24,10,S Darder,Espanyol de Barcelona
25,31,V mpuzano,Espanyol de Barcelona
26,12,Calleri,Espanyol de Barcelona
27,34,Gómez,Espanyol de Barcelona
28,14,s lendo,Espanyol de Barcelona
29,33,N Melamed,Espanyol de Barcelona
30,7,W Lei,Espanyol de Barcelona
31,11,Ral de Toms,Espanyol de Barcelona
