,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,23,Mandi,Real Betis
3,4,Feddal,Real Betis
4,6,Pedraza,Real Betis
5,18,Guardado,Real Betis
6,32,E Gonzlez,Real Betis
7,10,Canales,Real Betis
8,8,Fekir,Real Betis
9,16,L Morn,Real Betis
10,17,Joaquín,Real Betis
11,19,Barragán,Real Betis
12,24,Aleñá,Real Betis
13,9,B Iglesias,Real Betis
14,11,Tello,Real Betis
15,20,Lainez,Real Betis
16,1,R Silva,Granada CF
17,2,Foulquier,Granada CF
18,6,G chez,Granada CF
19,20,Vallejo,Granada CF
20,15,Neva,Granada CF
21,8,Eteki,Granada CF
22,12,Azeez,Granada CF
23,10,A Puertas,Granada CF
24,14,F Vico,Granada CF
25,23,Machís,Granada CF
26,24,C Fernndez,Granada CF
27,5,J rtnez,Granada CF
28,16,Vctor Daz,Granada CF
29,22,D Duarte,Granada CF
30,9,Soldado,Granada CF
31,18,Antoñin,Granada CF
