,player_num,player_name,team
0,1,Robles,Real Betis
1,19,Barragán,Real Betis
2,23,Mandi,Real Betis
3,5,Bartra,Real Betis
4,15,l reno,Real Betis
5,10,Canales,Real Betis
6,14,W Carvalho,Real Betis
7,18,Guardado,Real Betis
8,17,Joaquín,Real Betis
9,9,B Iglesias,Real Betis
10,16,L Morn,Real Betis
11,11,Tello,Real Betis
12,20,Lainez,Real Betis
13,35,R rca,Real Betis
14,13,A Fernndez,Levante
15,23,Coke,Levante
16,15,Postigo,Levante
17,6,Duarte,Levante
18,3,Toño,Levante
19,17,Vukčević,Levante
20,11,Morales,Levante
21,5,Radoja,Levante
22,24,Campaña,Levante
23,8,Hernâni,Levante
24,7,S Len,Levante
25,22,Melero,Levante
26,9,Roger,Levante
27,21,B Mayoral,Levante
