,player_num,player_name,team
0,1,Robles,Real Betis
1,22,E Royal,Real Betis
2,5,Bartra,Real Betis
3,12,Sidnei,Real Betis
4,15,l reno,Real Betis
5,17,Joaquín,Real Betis
6,32,E Gonzlez,Real Betis
7,18,Guardado,Real Betis
8,10,Canales,Real Betis
9,8,Fekir,Real Betis
10,16,L Morn,Real Betis
11,21,Rodríguez,Real Betis
12,6,Pedraza,Real Betis
13,11,Tello,Real Betis
14,13,Courtois,Real Madrid
15,3,d lito,Real Madrid
16,5,Varane,Real Madrid
17,4,Ramos,Real Madrid
18,12,Marcelo,Real Madrid
19,14,Casemiro,Real Madrid
20,17,L Vzquez,Real Madrid
21,10,Modrić,Real Madrid
22,8,Kroos,Real Madrid
23,25,Vincius Jr,Real Madrid
24,9,Benzema,Real Madrid
25,23,Mendy,Real Madrid
26,15,Valverde,Real Madrid
27,24,Mariano,Real Madrid
