,player_num,player_name,team
0,13,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,23,Mendy,Real Madrid
5,14,Casemiro,Real Madrid
6,8,Kroos,Real Madrid
7,15,Valverde,Real Madrid
8,10,Modrić,Real Madrid
9,22,Isco,Real Madrid
10,9,Benzema,Real Madrid
11,17,L Vzquez,Real Madrid
12,25,Vincius Jr,Real Madrid
13,13,Oblak,Atletico Madrid
14,24,Vrsaljko,Atletico Madrid
15,15,Savić,Atletico Madrid
16,18,Felipe,Atletico Madrid
17,12,R Lodi,Atletico Madrid
18,10,Correa,Atletico Madrid
19,5,Partey,Atletico Madrid
20,14,Llorente,Atletico Madrid
21,8,Sal guez,Atletico Madrid
22,9,Morata,Atletico Madrid
23,20,Vitolo,Atletico Madrid
24,11,Lemar,Atletico Madrid
25,21,Carrasco,Atletico Madrid
26,34,Camello,Atletico Madrid
