,player_num,player_name,team
0,13,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,12,Marcelo,Real Madrid
5,10,Modrić,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,27,Rodrygo,Real Madrid
9,9,Benzema,Real Madrid
10,7,Hazard,Real Madrid
11,3,d lito,Real Madrid
12,23,Mendy,Real Madrid
13,15,Valverde,Real Madrid
14,11,Bale,Real Madrid
15,25,Vincius Jr,Real Madrid
16,1,Dmitrović,Eibar
17,20,Rober,Eibar
18,12,P Oliveira,Eibar
19,23,Arbilla,Eibar
20,11,R Soares,Eibar
21,6,Alvarez,Eibar
22,14,Orellana,Eibar
23,18,Cristóforo,Eibar
24,10,E Expsito,Eibar
25,16,D Blasis,Eibar
26,17,K Garca,Eibar
27,2,Burgos,Eibar
28,3,Bigas,Eibar
29,21,P Len,Eibar
30,9,Enrich,Eibar
31,22,Inui,Eibar
