,player_num,player_name,team
0,13,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,23,Mendy,Real Madrid
5,10,Modrić,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,22,Isco,Real Madrid
9,9,Benzema,Real Madrid
10,25,Vincius Jr,Real Madrid
11,3,d lito,Real Madrid
12,15,Valverde,Real Madrid
13,20,M Asensio,Real Madrid
14,24,Mariano,Real Madrid
15,27,Rodrygo,Real Madrid
16,13,D Soria,Getafe
17,22,Suárez,Getafe
18,2,Djene,Getafe
19,16,Etxeita,Getafe
20,17,Olivera,Getafe
21,12,Nyom,Getafe
22,20,Maksimović,Getafe
23,24,Timor,Getafe
24,15,Cucurella,Getafe
25,18,Arambarri,Getafe
26,7,J Mata,Getafe
27,21,Fajr,Getafe
28,9,Angel,Getafe
29,19,J Molina,Getafe
30,23,Jason,Getafe
31,26,H Duro,Getafe
