,player_num,player_name,team
0,13,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,12,Marcelo,Real Madrid
5,16,James,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,17,L Vzquez,Real Madrid
9,9,Benzema,Real Madrid
10,25,Vincius Jr,Real Madrid
11,3,d lito,Real Madrid
12,7,Hazard,Real Madrid
13,18,Jović,Real Madrid
14,13,A Fernndez,Levante
15,20,Miramón,Levante
16,14,Rben Vezo,Levante
17,6,Duarte,Levante
18,15,Postigo,Levante
19,19,Clerc,Levante
20,16,Rochina,Levante
21,17,Vukčević,Levante
22,24,Campaña,Levante
23,21,B Mayoral,Levante
24,11,Morales,Levante
25,10,Bardhi,Levante
26,22,Melero,Levante
27,9,Roger,Levante
