,player_num,player_name,team
0,13,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,23,Mendy,Real Madrid
5,15,Valverde,Real Madrid
6,10,Modrić,Real Madrid
7,11,Bale,Real Madrid
8,7,Hazard,Real Madrid
9,25,Vincius Jr,Real Madrid
10,9,Benzema,Real Madrid
11,8,Kroos,Real Madrid
12,22,Isco,Real Madrid
13,20,M Asensio,Real Madrid
14,21,Díaz,Real Madrid
15,24,Mariano,Real Madrid
16,1,Reina,Mallorca
17,24,Valjent,Mallorca
18,21,A Raillo,Mallorca
19,20,Sedlar,Mallorca
20,7,Pozo,Mallorca
21,14,D Rodrguez,Mallorca
22,12,Baba,Mallorca
23,23,Febas,Mallorca
24,11,Lago Jr,Mallorca
25,26,Kubo,Mallorca
26,22,Budimir,Mallorca
27,15,F Gmez,Mallorca
28,8,S Sevilla,Mallorca
29,41,Romero,Mallorca
30,16,Salibur,Mallorca
31,29,Hernández,Mallorca
