,player_num,player_name,team
0,13,Courtois,Real Madrid
1,2,Carvajal,Real Madrid
2,5,Varane,Real Madrid
3,4,Ramos,Real Madrid
4,23,Mendy,Real Madrid
5,10,Modrić,Real Madrid
6,14,Casemiro,Real Madrid
7,8,Kroos,Real Madrid
8,27,Rodrygo,Real Madrid
9,9,Benzema,Real Madrid
10,7,Hazard,Real Madrid
11,15,Valverde,Real Madrid
12,22,Isco,Real Madrid
13,17,L Vzquez,Real Madrid
14,20,M Asensio,Real Madrid
15,25,Vincius Jr,Real Madrid
16,1,Asenjo,Villarreal
17,2,M Gaspar,Villarreal
18,22,Chakla,Villarreal
19,4,P Torres,Villarreal
20,16,X Quintill,Villarreal
21,15,Morlanes,Villarreal
22,19,Z Anguissa,Villarreal
23,20,R Pea,Villarreal
24,11,Chukwueze,Villarreal
25,23,M Gmez,Villarreal
26,7,G Moreno,Villarreal
27,21,B Soriano,Villarreal
28,8,S Cazorla,Villarreal
29,10,Iborra,Villarreal
30,14,Trigueros,Villarreal
31,24,J Ontiveros,Villarreal
