,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,2,Zaldùa,Real Sociedad
2,5,I Zubelda,Real Sociedad
3,24,L Normand,Real Sociedad
4,12,A Muoz,Real Sociedad
5,8,Merino,Real Sociedad
6,16,A Guevara,Real Sociedad
7,7,Portu,Real Sociedad
8,23,Sangalli,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,9,W Jos,Real Sociedad
11,6,Elustondo,Real Sociedad
12,11,Januzaj,Real Sociedad
13,19,Isak,Real Sociedad
14,1,U Simn,Athletic Club
15,21,Capa,Athletic Club
16,3,Núñez,Athletic Club
17,5,Yeray,Athletic Club
18,24,Balenziaga,Athletic Club
19,6,S Jos,Athletic Club
20,7,Beñat,Athletic Club
21,15,Lekue,Athletic Club
22,23,Kodro,Athletic Club
23,19,I Gomez,Athletic Club
24,25,Villalibre,Athletic Club
25,14,D Garcia,Athletic Club
26,9,I lliams,Athletic Club
27,10,Muniain,Athletic Club
