,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,2,Zaldùa,Real Sociedad
2,6,Elustondo,Real Sociedad
3,3,Llorente,Real Sociedad
4,20,Monreal,Real Sociedad
5,36,Zubimendi,Real Sociedad
6,8,Merino,Real Sociedad
7,11,Januzaj,Real Sociedad
8,21,Ødegaard,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,9,W Jos,Real Sociedad
11,12,A Muoz,Real Sociedad
12,18,A Gorosabel,Real Sociedad
13,7,Portu,Real Sociedad
14,19,Isak,Real Sociedad
15,13,Ruben,Celta Vigo
16,20,Kevin,Celta Vigo
17,18,Aidoo,Celta Vigo
18,21,Murillo,Celta Vigo
19,15,Olaza,Celta Vigo
20,12,Rafinha,Celta Vigo
21,14,Bradarić,Celta Vigo
22,8,F Beltran,Celta Vigo
23,10,I Aspas,Celta Vigo
24,22,S Mina,Celta Vigo
25,6,Suárez,Celta Vigo
26,4,Araujo,Celta Vigo
27,16,J Saenz,Celta Vigo
28,23,B Mndez,Celta Vigo
29,3,Nolito,Celta Vigo
30,9,Smolov,Celta Vigo
