,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,18,A Gorosabel,Real Sociedad
2,6,Elustondo,Real Sociedad
3,3,Llorente,Real Sociedad
4,20,Monreal,Real Sociedad
5,21,Ødegaard,Real Sociedad
6,16,A Guevara,Real Sociedad
7,8,Merino,Real Sociedad
8,7,Portu,Real Sociedad
9,9,W Jos,Real Sociedad
10,10,Oyarzabal,Real Sociedad
11,24,L Normand,Real Sociedad
12,11,Januzaj,Real Sociedad
13,19,Isak,Real Sociedad
14,1,Pacheco,Deportivo Alaves
15,21,Martín,Deportivo Alaves
16,4,R Ely,Deportivo Alaves
17,6,Magallán,Deportivo Alaves
18,17,Adrin Marn,Deportivo Alaves
19,8,Pina,Deportivo Alaves
20,29,B Sainz,Deportivo Alaves
21,20,P Pons,Deportivo Alaves
22,22,Wakaso,Deportivo Alaves
23,24,Burke,Deportivo Alaves
24,7,Lucas,Deportivo Alaves
25,19,M Garca,Deportivo Alaves
26,18,Aleix,Deportivo Alaves
27,10,Guidetti,Deportivo Alaves
