,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,2,Zaldùa,Real Sociedad
2,24,L Normand,Real Sociedad
3,3,Llorente,Real Sociedad
4,20,Monreal,Real Sociedad
5,11,Januzaj,Real Sociedad
6,5,I Zubelda,Real Sociedad
7,8,Merino,Real Sociedad
8,7,Portu,Real Sociedad
9,9,W Jos,Real Sociedad
10,10,Oyarzabal,Real Sociedad
11,6,Elustondo,Real Sociedad
12,19,Isak,Real Sociedad
13,23,Sangalli,Real Sociedad
14,1,Cuéllar,Leganés
15,16,Rosales,Leganés
16,3,U Bustinza,Leganés
17,4,Omeruo,Leganés
18,22,Siovas,Leganés
19,24,Rodrigues,Leganés
20,27,s drguez,Leganés
21,6,R Mesa,Leganés
22,8,Recio,Leganés
23,10,J niz,Leganés
24,7,Braithwaite,Leganés
25,18,Carrillo,Leganés
26,19,A Ruibal,Leganés
27,26,En-Nesyri,Leganés
