,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,2,Zaldùa,Real Sociedad
2,6,Elustondo,Real Sociedad
3,24,L Normand,Real Sociedad
4,20,Monreal,Real Sociedad
5,5,I Zubelda,Real Sociedad
6,8,Merino,Real Sociedad
7,7,Portu,Real Sociedad
8,21,Ødegaard,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,9,W Jos,Real Sociedad
11,3,Llorente,Real Sociedad
12,12,A Muoz,Real Sociedad
13,11,Januzaj,Real Sociedad
14,19,Isak,Real Sociedad
15,13,Rubén,Osasuna
16,2,N Vidal,Osasuna
17,4,U Garca,Osasuna
18,3,Navas,Osasuna
19,5,D Garca,Osasuna
20,30,Estupiñán,Osasuna
21,20,Brašanac,Osasuna
22,6,Oier,Osasuna
23,21,Pérez,Osasuna
24,22,Adrián,Osasuna
25,7,Cardona,Osasuna
26,27,Moncayola,Osasuna
27,11,E Gallego,Osasuna
28,16,J niz,Osasuna
