,player_num,player_name,team
0,1,Remiro,Real Sociedad
1,2,Zaldùa,Real Sociedad
2,24,L Normand,Real Sociedad
3,5,I Zubelda,Real Sociedad
4,20,Monreal,Real Sociedad
5,8,Merino,Real Sociedad
6,16,A Guevara,Real Sociedad
7,7,Portu,Real Sociedad
8,21,Ødegaard,Real Sociedad
9,10,Oyarzabal,Real Sociedad
10,9,W Jos,Real Sociedad
11,23,Sangalli,Real Sociedad
12,19,Isak,Real Sociedad
13,22,A Barrenetxea,Real Sociedad
14,1,Robles,Real Betis
15,19,Barragán,Real Betis
16,23,Mandi,Real Betis
17,5,Bartra,Real Betis
18,15,l reno,Real Betis
19,17,Joaquín,Real Betis
20,8,Fekir,Real Betis
21,3,J Garca,Real Betis
22,10,Canales,Real Betis
23,9,B Iglesias,Real Betis
24,16,L Morn,Real Betis
25,6,Pedraza,Real Betis
26,18,Guardado,Real Betis
27,11,Tello,Real Betis
