,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,17,J Moyano,Real Valladolid
2,24,Joaquin,Real Valladolid
3,27,Salisu,Real Valladolid
4,22,Nacho,Real Valladolid
5,10,O Plano,Real Valladolid
6,14,R caraz,Real Valladolid
7,21,Míchel,Real Valladolid
8,19,T Villa,Real Valladolid
9,7,S Guardiola,Real Valladolid
10,9,Ünal,Real Valladolid
11,16,Fede,Real Valladolid
12,3,B Arfa,Real Valladolid
13,11,Hervías,Real Valladolid
14,23,W Rubio,Real Valladolid
15,13,Ruben,Celta Vigo
16,20,Kevin,Celta Vigo
17,18,Aidoo,Celta Vigo
18,21,Murillo,Celta Vigo
19,4,Araujo,Celta Vigo
20,15,Olaza,Celta Vigo
21,12,Rafinha,Celta Vigo
22,5,Yokuşlu,Celta Vigo
23,8,F Beltran,Celta Vigo
24,10,I Aspas,Celta Vigo
25,9,Smolov,Celta Vigo
26,6,Suárez,Celta Vigo
27,23,B Mndez,Celta Vigo
