,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,17,J Moyano,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,22,Nacho,Real Valladolid
5,10,O Plano,Real Valladolid
6,24,Joaquin,Real Valladolid
7,21,Míchel,Real Valladolid
8,19,T Villa,Real Valladolid
9,9,Ünal,Real Valladolid
10,7,S Guardiola,Real Valladolid
11,8,Anuar,Real Valladolid
12,12,D Frutos,Real Valladolid
13,23,W Rubio,Real Valladolid
14,1,Dmitrović,Eibar
15,24,Tejero,Eibar
16,12,P Oliveira,Eibar
17,23,Arbilla,Eibar
18,15,J gel,Eibar
19,5,Escalante,Eibar
20,8,Diop,Eibar
21,10,E Expsito,Eibar
22,21,P Len,Eibar
23,7,Q Gonzlez,Eibar
24,14,Orellana,Eibar
25,9,Enrich,Eibar
26,17,K Garca,Eibar
