,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,17,J Moyano,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,22,Nacho,Real Valladolid
5,10,O Plano,Real Valladolid
6,14,R caraz,Real Valladolid
7,16,Fede,Real Valladolid
8,19,T Villa,Real Valladolid
9,20,S Ramirez,Real Valladolid
10,7,S Guardiola,Real Valladolid
11,9,Ünal,Real Valladolid
12,11,Hervías,Real Valladolid
13,1,R Silva,Granada CF
14,16,Vctor Daz,Granada CF
15,22,D Duarte,Granada CF
16,5,J rtnez,Granada CF
17,15,Neva,Granada CF
18,10,A Puertas,Granada CF
19,4,Gonalons,Granada CF
20,19,Montoro,Granada CF
21,7,Vadillo,Granada CF
22,24,C Fernndez,Granada CF
23,20,Ramos,Granada CF
24,6,G chez,Granada CF
25,21,Herrera,Granada CF
26,23,Machís,Granada CF
