,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,18,Antoñito,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,17,J Moyano,Real Valladolid
5,10,O Plano,Real Valladolid
6,14,R caraz,Real Valladolid
7,24,Joaquin,Real Valladolid
8,19,T Villa,Real Valladolid
9,7,S Guardiola,Real Valladolid
10,9,Ünal,Real Valladolid
11,21,Míchel,Real Valladolid
12,11,Hervías,Real Valladolid
13,20,S Ramirez,Real Valladolid
14,1,Cuéllar,Leganés
15,16,Rosales,Leganés
16,12,Awaziem,Leganés
17,4,Omeruo,Leganés
18,5,Silva,Leganés
19,24,Rodrigues,Leganés
20,27,s drguez,Leganés
21,21,Rubn Prez,Leganés
22,6,R Mesa,Leganés
23,7,Braithwaite,Leganés
24,26,En-Nesyri,Leganés
25,15,Tarín,Leganés
26,18,Carrillo,Leganés
27,19,A Ruibal,Leganés
