,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,18,Antoñito,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,22,Nacho,Real Valladolid
5,21,Míchel,Real Valladolid
6,14,R caraz,Real Valladolid
7,11,Hervías,Real Valladolid
8,10,O Plano,Real Valladolid
9,23,W Rubio,Real Valladolid
10,9,Ünal,Real Valladolid
11,7,S Guardiola,Real Valladolid
12,16,Fede,Real Valladolid
13,19,T Villa,Real Valladolid
14,13,A Fernndez,Levante
15,23,Coke,Levante
16,15,Postigo,Levante
17,14,Rben Vezo,Levante
18,3,Toño,Levante
19,16,Rochina,Levante
20,17,Vukčević,Levante
21,24,Campaña,Levante
22,10,Bardhi,Levante
23,9,Roger,Levante
24,21,B Mayoral,Levante
25,7,S Len,Levante
26,8,Hernâni,Levante
27,11,Morales,Levante
28,19,Clerc,Levante
29,20,Miramón,Levante
