,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,18,Antoñito,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,6,García,Real Valladolid
5,16,Fede,Real Valladolid
6,24,Joaquin,Real Valladolid
7,14,R caraz,Real Valladolid
8,21,Míchel,Real Valladolid
9,9,Ünal,Real Valladolid
10,7,S Guardiola,Real Valladolid
11,10,O Plano,Real Valladolid
12,19,T Villa,Real Valladolid
13,29,D Fuente,Real Valladolid
14,13,Courtois,Real Madrid
15,6,Nacho,Real Madrid
16,5,Varane,Real Madrid
17,4,Ramos,Real Madrid
18,23,Mendy,Real Madrid
19,10,Modrić,Real Madrid
20,14,Casemiro,Real Madrid
21,8,Kroos,Real Madrid
22,27,Rodrygo,Real Madrid
23,9,Benzema,Real Madrid
24,22,Isco,Real Madrid
25,15,Valverde,Real Madrid
26,17,L Vzquez,Real Madrid
27,18,Jović,Real Madrid
