,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,18,Antoñito,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,17,J Moyano,Real Valladolid
5,11,Hervías,Real Valladolid
6,24,Joaquin,Real Valladolid
7,16,Fede,Real Valladolid
8,19,T Villa,Real Valladolid
9,9,Ünal,Real Valladolid
10,20,S Ramirez,Real Valladolid
11,7,S Guardiola,Real Valladolid
12,8,Anuar,Real Valladolid
13,10,O Plano,Real Valladolid
14,1,Doménech,Valencia
15,18,Wass,Valencia
16,24,Garay,Valencia
17,5,G Paulista,Valencia
18,14,Gayá,Valencia
19,20,F rres,Valencia
20,10,Parejo,Valencia
21,17,Coquelin,Valencia
22,8,Soler,Valencia
23,23,Sobrino,Valencia
24,19,Rodrigo,Valencia
25,11,Cheryshev,Valencia
26,15,M Vallejo,Valencia
27,34,Esquerdo,Valencia
