,player_num,player_name,team
0,1,J Masip,Real Valladolid
1,17,J Moyano,Real Valladolid
2,4,Kiko,Real Valladolid
3,27,Salisu,Real Valladolid
4,6,García,Real Valladolid
5,10,O Plano,Real Valladolid
6,21,Míchel,Real Valladolid
7,14,R caraz,Real Valladolid
8,19,T Villa,Real Valladolid
9,20,S Ramirez,Real Valladolid
10,9,Ünal,Real Valladolid
11,3,B Arfa,Real Valladolid
12,11,Hervías,Real Valladolid
13,29,D Fuente,Real Valladolid
14,1,Asenjo,Villarreal
15,2,M Gaspar,Villarreal
16,3,Albiol,Villarreal
17,6,F Mori,Villarreal
18,20,R Pea,Villarreal
19,23,M Gmez,Villarreal
20,14,Trigueros,Villarreal
21,10,Iborra,Villarreal
22,8,S Cazorla,Villarreal
23,7,G Moreno,Villarreal
24,17,Alcácer,Villarreal
25,24,J Ontiveros,Villarreal
26,11,Chukwueze,Villarreal
