,player_num,player_name,team
0,1,Vaclík,Sevilla
1,16,J Navas,Sevilla
2,6,D Carrio,Sevilla
3,20,D Carlos,Sevilla
4,12,Koundé,Sevilla
5,24,J Jordn,Sevilla
6,25,Fernando,Sevilla
7,10,Banega,Sevilla
8,5,Ocampos,Sevilla
9,11,Munir,Sevilla
10,21,O Torres,Sevilla
11,18,Escudero,Sevilla
12,22,Vázquez,Sevilla
13,19,d Jong,Sevilla
14,1,U Simn,Athletic Club
15,5,Yeray,Athletic Club
16,3,Núñez,Athletic Club
17,4,I rtnez,Athletic Club
18,21,Capa,Athletic Club
19,22,R rca,Athletic Club
20,14,D Garcia,Athletic Club
21,16,M Vesga,Athletic Club
22,17,Yuri,Athletic Club
23,23,Kodro,Athletic Club
24,9,I lliams,Athletic Club
25,8,U Lpez,Athletic Club
26,25,Villalibre,Athletic Club
