,player_num,player_name,team
0,1,Vaclík,Sevilla
1,16,J Navas,Sevilla
2,3,S Gmez,Sevilla
3,20,D Carlos,Sevilla
4,23,Reguilón,Sevilla
5,22,Vázquez,Sevilla
6,25,Fernando,Sevilla
7,21,O Torres,Sevilla
8,5,Ocampos,Sevilla
9,19,d Jong,Sevilla
10,8,Nolito,Sevilla
11,12,Koundé,Sevilla
12,17,Gudelj,Sevilla
13,15,En-Nesyri,Sevilla
14,1,R Silva,Granada CF
15,16,Vctor Daz,Granada CF
16,22,D Duarte,Granada CF
17,5,J rtnez,Granada CF
18,15,Neva,Granada CF
19,8,Eteki,Granada CF
20,4,Gonalons,Granada CF
21,10,A Puertas,Granada CF
22,21,Herrera,Granada CF
23,23,Machís,Granada CF
24,9,Soldado,Granada CF
25,2,Foulquier,Granada CF
26,20,Vallejo,Granada CF
27,7,Vadillo,Granada CF
