,player_num,player_name,team
0,1,Vaclík,Sevilla
1,16,J Navas,Sevilla
2,6,D Carrio,Sevilla
3,20,D Carlos,Sevilla
4,23,Reguilón,Sevilla
5,22,Vázquez,Sevilla
6,25,Fernando,Sevilla
7,10,Banega,Sevilla
8,11,Munir,Sevilla
9,19,d Jong,Sevilla
10,21,O Torres,Sevilla
11,9,Dabbur,Sevilla
12,14,Hernández,Sevilla
13,24,J Jordn,Sevilla
14,1,Asenjo,Villarreal
15,2,M Gaspar,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,16,X Quintill,Villarreal
19,10,Iborra,Villarreal
20,11,Chukwueze,Villarreal
21,19,Z Anguissa,Villarreal
22,14,Trigueros,Villarreal
23,23,M Gmez,Villarreal
24,7,G Moreno,Villarreal
25,6,F Mori,Villarreal
26,17,T Ekambi,Villarreal
27,20,R Pea,Villarreal
