,player_num,player_name,team
0,1,Doménech,Valencia
1,2,T Correia,Valencia
2,5,G Paulista,Valencia
3,12,Diakhaby,Valencia
4,3,J Costa,Valencia
5,17,Coquelin,Valencia
6,10,Parejo,Valencia
7,6,Kondogbia,Valencia
8,16,Lee KI,Valencia
9,19,Rodrigo,Valencia
10,9,Gameiro,Valencia
11,18,Wass,Valencia
12,7,G edes,Valencia
13,22,Gómez,Valencia
14,13,D Soria,Getafe
15,22,Suárez,Getafe
16,2,Djene,Getafe
17,6,Cabrera,Getafe
18,12,Nyom,Getafe
19,23,Jason,Getafe
20,18,Arambarri,Getafe
21,20,Maksimović,Getafe
22,15,Cucurella,Getafe
23,19,J Molina,Getafe
24,7,J Mata,Getafe
25,8,Portillo,Getafe
26,25,Kenedy,Getafe
27,9,Angel,Getafe
