,player_num,player_name,team
0,13,Cillessen,Valencia
1,18,Wass,Valencia
2,24,Garay,Valencia
3,5,G Paulista,Valencia
4,3,J Costa,Valencia
5,8,Soler,Valencia
6,17,Coquelin,Valencia
7,6,Kondogbia,Valencia
8,7,G edes,Valencia
9,9,Gameiro,Valencia
10,19,Rodrigo,Valencia
11,21,Piccini,Valencia
12,11,Cheryshev,Valencia
13,20,F rres,Valencia
14,13,Moyá,Real Sociedad
15,2,Zaldùa,Real Sociedad
16,24,L Normand,Real Sociedad
17,5,I Zubelda,Real Sociedad
18,12,A Muoz,Real Sociedad
19,8,Merino,Real Sociedad
20,4,Illarra,Real Sociedad
21,21,Ødegaard,Real Sociedad
22,11,Januzaj,Real Sociedad
23,9,W Jos,Real Sociedad
24,10,Oyarzabal,Real Sociedad
25,20,Rodrigues,Real Sociedad
26,19,Isak,Real Sociedad
27,22,A Barrenetxea,Real Sociedad
