,player_num,player_name,team
0,13,Cillessen,Valencia
1,18,Wass,Valencia
2,24,Garay,Valencia
3,5,G Paulista,Valencia
4,14,Gayá,Valencia
5,20,F rres,Valencia
6,17,Coquelin,Valencia
7,10,Parejo,Valencia
8,8,Soler,Valencia
9,22,Gómez,Valencia
10,16,Lee KI,Valencia
11,6,Kondogbia,Valencia
12,15,M Vallejo,Valencia
13,23,Sobrino,Valencia
14,1,Vaclík,Sevilla
15,16,J Navas,Sevilla
16,12,Koundé,Sevilla
17,20,D Carlos,Sevilla
18,18,Escudero,Sevilla
19,24,J Jordn,Sevilla
20,25,Fernando,Sevilla
21,10,Banega,Sevilla
22,5,Ocampos,Sevilla
23,14,Hernández,Sevilla
24,21,O Torres,Sevilla
25,11,Munir,Sevilla
26,17,Gudelj,Sevilla
27,22,Vázquez,Sevilla
