,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,18,A Moreno,Villarreal
5,11,Chukwueze,Villarreal
6,19,Z Anguissa,Villarreal
7,10,Iborra,Villarreal
8,8,S Cazorla,Villarreal
9,7,G Moreno,Villarreal
10,17,Alcácer,Villarreal
11,9,Bacca,Villarreal
12,14,Trigueros,Villarreal
13,21,B Soriano,Villarreal
14,23,M Gmez,Villarreal
15,34,N driguez,Villarreal
16,1,t Stegen,Barcelona
17,2,N medo,Barcelona
18,3,Piqué,Barcelona
19,15,Lenglet,Barcelona
20,18,J Alba,Barcelona
21,22,Vidal,Barcelona
22,5,Busquets,Barcelona
23,20,S Roberto,Barcelona
24,10,Messi,Barcelona
25,17,Griezmann,Barcelona
26,9,Suárez,Barcelona
27,4,Rakitić,Barcelona
28,19,Braithwaite,Barcelona
29,28,Puig,Barcelona
30,31,Fati,Barcelona
31,33,Araújo,Barcelona
