,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,18,A Moreno,Villarreal
5,10,Iborra,Villarreal
6,7,G Moreno,Villarreal
7,19,Z Anguissa,Villarreal
8,8,S Cazorla,Villarreal
9,23,M Gmez,Villarreal
10,17,T Ekambi,Villarreal
11,14,Trigueros,Villarreal
12,24,J Ontiveros,Villarreal
13,11,Chukwueze,Villarreal
14,1,Pacheco,Deportivo Alaves
15,21,Martín,Deportivo Alaves
16,5,Laguardia,Deportivo Alaves
17,6,Magallán,Deportivo Alaves
18,3,R arte,Deportivo Alaves
19,18,Aleix,Deportivo Alaves
20,19,M Garca,Deportivo Alaves
21,22,Wakaso,Deportivo Alaves
22,11,L Rioja,Deportivo Alaves
23,7,Lucas,Deportivo Alaves
24,9,Joselu,Deportivo Alaves
25,29,B Sainz,Deportivo Alaves
26,10,Guidetti,Deportivo Alaves
27,24,Burke,Deportivo Alaves
