,player_num,player_name,team
0,1,Asenjo,Villarreal
1,20,R Pea,Villarreal
2,3,Albiol,Villarreal
3,6,F Mori,Villarreal
4,2,M Gaspar,Villarreal
5,10,Iborra,Villarreal
6,7,G Moreno,Villarreal
7,14,Trigueros,Villarreal
8,8,S Cazorla,Villarreal
9,23,M Gmez,Villarreal
10,17,Alcácer,Villarreal
11,19,Z Anguissa,Villarreal
12,11,Chukwueze,Villarreal
13,34,N driguez,Villarreal
14,1,S Herrera,Osasuna
15,2,N Vidal,Osasuna
16,23,Aridane,Osasuna
17,5,D Garca,Osasuna
18,30,Estupiñán,Osasuna
19,27,Moncayola,Osasuna
20,21,Pérez,Osasuna
21,17,R Ibaez,Osasuna
22,14,R rca,Osasuna
23,10,R Torres,Osasuna
24,7,Cardona,Osasuna
25,11,E Gallego,Osasuna
26,16,J niz,Osasuna
27,22,Adrián,Osasuna
