,player_num,player_name,team
0,1,Asenjo,Villarreal
1,20,R Pea,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,16,X Quintill,Villarreal
5,19,Z Anguissa,Villarreal
6,10,Iborra,Villarreal
7,7,G Moreno,Villarreal
8,8,S Cazorla,Villarreal
9,23,M Gmez,Villarreal
10,9,Bacca,Villarreal
11,24,J Ontiveros,Villarreal
12,11,Chukwueze,Villarreal
13,17,T Ekambi,Villarreal
14,1,J Masip,Real Valladolid
15,2,P Porro,Real Valladolid
16,4,Kiko,Real Valladolid
17,27,Salisu,Real Valladolid
18,3,Barba,Real Valladolid
19,18,Antoñito,Real Valladolid
20,21,Míchel,Real Valladolid
21,14,R caraz,Real Valladolid
22,10,O Plano,Real Valladolid
23,7,S Guardiola,Real Valladolid
24,20,S Ramirez,Real Valladolid
25,8,Anuar,Real Valladolid
26,11,Hervías,Real Valladolid
27,23,W Rubio,Real Valladolid
