,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,18,A Moreno,Villarreal
5,11,Chukwueze,Villarreal
6,10,Iborra,Villarreal
7,19,Z Anguissa,Villarreal
8,8,S Cazorla,Villarreal
9,7,G Moreno,Villarreal
10,17,Alcácer,Villarreal
11,21,B Soriano,Villarreal
12,14,Trigueros,Villarreal
13,24,J Ontiveros,Villarreal
14,9,Bacca,Villarreal
15,23,M Gmez,Villarreal
16,1,Vaclík,Sevilla
17,12,Koundé,Sevilla
18,3,S Gmez,Sevilla
19,20,D Carlos,Sevilla
20,18,Escudero,Sevilla
21,24,J Jordn,Sevilla
22,25,Fernando,Sevilla
23,10,Banega,Sevilla
24,14,Suso,Sevilla
25,15,En-Nesyri,Sevilla
26,7,R Lopes,Sevilla
27,16,J Navas,Sevilla
28,22,Vázquez,Sevilla
29,5,Ocampos,Sevilla
30,11,Munir,Sevilla
31,19,d Jong,Sevilla
